class_id,precision,recall,f1,accuracy,true_positive,false_positive,false_negative
603,0.0,0.0,0.0,0.9996485061511423,0,0,1
604,0.0,0.0,0.0,0.9992970123022847,0,1,1
605,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
606,0.0,0.0,0.0,0.9996485061511423,0,0,1
607,0.0,0.0,0.0,0.9992970123022847,0,0,2
608,0.0,0.0,0.0,0.9992970123022847,0,1,1
609,0.0,0.0,0.0,0.9992970123022847,0,1,1
610,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
611,0.0,0.0,0.0,0.9992970123022847,0,0,2
612,0.0,0.0,0.0,0.9996485061511423,0,1,0
613,0.5,0.5,0.5,0.9992970123022847,1,1,1
614,0.0,0.0,0.0,0.9992970123022847,0,1,1
615,0.3333333333333333,1.0,0.5,0.9992970123022847,1,2,0
616,0.0,0.0,0.0,0.9992970123022847,0,0,2
617,1.0,1.0,1.0,1.0,1,0,0
618,0.6666666666666666,1.0,0.8,0.9996485061511423,2,1,0
619,1.0,1.0,1.0,1.0,1,0,0
620,1.0,1.0,1.0,1.0,1,0,0
621,0.0,0.0,0.0,0.9996485061511423,0,0,1
622,0.0,0.0,0.0,0.9996485061511423,0,0,1
623,0.0,0.0,0.0,0.9985940246045695,0,2,2
624,1.0,1.0,1.0,1.0,1,0,0
625,1.0,1.0,1.0,1.0,1,0,0
626,0.0,0.0,0.0,0.9992970123022847,0,0,2
627,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
628,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
629,0.0,0.0,0.0,0.9992970123022847,0,1,1
630,1.0,1.0,1.0,1.0,1,0,0
631,1.0,1.0,1.0,1.0,2,0,0
632,0.0,0.0,0.0,1.0,0,0,0
633,1.0,1.0,1.0,1.0,1,0,0
634,1.0,1.0,1.0,1.0,1,0,0
635,0.0,0.0,0.0,0.9996485061511423,0,0,1
636,1.0,1.0,1.0,1.0,1,0,0
637,0.0,0.0,0.0,0.9996485061511423,0,1,0
638,1.0,1.0,1.0,1.0,1,0,0
639,0.0,0.0,0.0,0.9996485061511423,0,1,0
640,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
641,0.6666666666666666,1.0,0.8,0.9996485061511423,2,1,0
642,1.0,1.0,1.0,1.0,2,0,0
643,0.0,0.0,0.0,0.9996485061511423,0,0,1
644,0.0,0.0,0.0,0.9996485061511423,0,0,1
645,0.0,0.0,0.0,1.0,0,0,0
646,1.0,1.0,1.0,1.0,1,0,0
647,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
648,0.0,0.0,0.0,0.9996485061511423,0,0,1
649,0.0,0.0,0.0,1.0,0,0,0
650,0.0,0.0,0.0,0.9996485061511423,0,0,1
651,1.0,1.0,1.0,1.0,1,0,0
652,0.0,0.0,0.0,1.0,0,0,0
653,1.0,1.0,1.0,1.0,1,0,0
654,0.0,0.0,0.0,0.9996485061511423,0,0,1
655,0.0,0.0,0.0,0.9992970123022847,0,1,1
656,0.0,0.0,0.0,1.0,0,0,0
657,0.0,0.0,0.0,0.9996485061511423,0,0,1
658,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
659,0.0,0.0,0.0,0.9992970123022847,0,2,0
660,0.0,0.0,0.0,1.0,0,0,0
661,0.0,0.0,0.0,0.9992970123022847,0,1,1
662,1.0,1.0,1.0,1.0,1,0,0
663,1.0,1.0,1.0,1.0,1,0,0
664,0.0,0.0,0.0,0.9996485061511423,0,0,1
665,0.0,0.0,0.0,0.9992970123022847,0,1,1
666,1.0,1.0,1.0,1.0,1,0,0
667,0.0,0.0,0.0,0.9996485061511423,0,0,1
668,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
669,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
670,1.0,1.0,1.0,1.0,1,0,0
671,0.5,0.5,0.5,0.9992970123022847,1,1,1
672,0.0,0.0,0.0,0.9992970123022847,0,2,0
673,1.0,1.0,1.0,1.0,1,0,0
674,0.0,0.0,0.0,0.9996485061511423,0,0,1
675,1.0,1.0,1.0,1.0,1,0,0
676,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
677,1.0,1.0,1.0,1.0,1,0,0
678,0.0,0.0,0.0,0.9996485061511423,0,0,1
679,0.0,0.0,0.0,0.9996485061511423,0,0,1
680,0.0,0.0,0.0,0.9992970123022847,0,1,1
681,0.0,0.0,0.0,1.0,0,0,0
682,0.0,0.0,0.0,1.0,0,0,0
683,0.0,0.0,0.0,0.9996485061511423,0,0,1
684,0.0,0.0,0.0,0.9996485061511423,0,0,1
685,0.0,0.0,0.0,0.9992970123022847,0,1,1
686,0.0,0.0,0.0,0.9996485061511423,0,1,0
687,0.0,0.0,0.0,0.9996485061511423,0,0,1
688,0.0,0.0,0.0,0.9996485061511423,0,0,1
689,0.0,0.0,0.0,0.9996485061511423,0,0,1
690,0.0,0.0,0.0,0.998945518453427,0,2,1
691,0.0,0.0,0.0,0.9992970123022847,0,2,0
692,0.0,0.0,0.0,0.9992970123022847,0,1,1
693,0.0,0.0,0.0,0.9996485061511423,0,0,1
694,0.0,0.0,0.0,0.9992970123022847,0,0,2
695,1.0,1.0,1.0,1.0,1,0,0
696,0.0,0.0,0.0,0.998945518453427,0,2,1
697,0.3333333333333333,1.0,0.5,0.9992970123022847,1,2,0
698,0.0,0.0,0.0,0.9996485061511423,0,0,1
699,0.0,0.0,0.0,1.0,0,0,0
700,0.0,0.0,0.0,1.0,0,0,0
701,0.0,0.0,0.0,0.9992970123022847,0,1,1
702,0.0,0.0,0.0,0.9992970123022847,0,1,1
703,1.0,1.0,1.0,1.0,1,0,0
704,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
705,1.0,1.0,1.0,1.0,1,0,0
706,0.0,0.0,0.0,0.9996485061511423,0,0,1
707,1.0,1.0,1.0,1.0,1,0,0
708,0.0,0.0,0.0,0.9996485061511423,0,0,1
709,0.0,0.0,0.0,1.0,0,0,0
710,0.0,0.0,0.0,1.0,0,0,0
711,0.0,0.0,0.0,0.9992970123022847,0,0,2
712,0.0,0.0,0.0,1.0,0,0,0
713,0.0,0.0,0.0,0.9996485061511423,0,0,1
714,0.3333333333333333,1.0,0.5,0.9992970123022847,1,2,0
715,0.0,0.0,0.0,0.9996485061511423,0,0,1
716,1.0,1.0,1.0,1.0,1,0,0
717,0.0,0.0,0.0,0.9996485061511423,0,0,1
718,0.0,0.0,0.0,0.9992970123022847,0,1,1
719,1.0,1.0,1.0,1.0,1,0,0
720,0.0,0.0,0.0,0.9992970123022847,0,1,1
721,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
722,0.0,0.0,0.0,0.9992970123022847,0,1,1
723,1.0,1.0,1.0,1.0,1,0,0
724,0.0,0.0,0.0,1.0,0,0,0
725,0.0,0.0,0.0,0.9992970123022847,0,1,1
726,0.0,0.0,0.0,0.9996485061511423,0,1,0
